Compound,Compound name,Compound aliases,Chemical class,Core level,Binding energy (eV),Uncertainty (eV),Peak assignment,Reference,DOI,Calibration
KOH,Potassium hydroxide,Caustic potash,alkali; hydroxide,O 1s,529.3,0.1,OH⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaOH,Sodium hydroxide,Caustic soda,alkali; hydroxide,Na 1s,1070.1,0.1,Na⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaOH,Sodium hydroxide,Caustic soda,alkali; hydroxide,O 1s,529.8,0.1,OH⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiOH,Lithium hydroxide,,alkali; hydroxide,Li 1s,54.8,0.2,Li⁺,1; 33,10.1021/acsaem.1c02400; 10.1021/cm0311269,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
LiOH,Lithium hydroxide,,alkali; hydroxide,O 1s,531.2,0.2,OH⁻,1; 33,10.1021/acsaem.1c02400; 10.1021/cm0311269,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
CH3OK,Potassium methoxide,Potassium methanolate,alkali; alcohol,K 2p3/2,292.6,0.1,K⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3OK,Potassium methoxide,Potassium methanolate,alkali; alcohol,C 1s,286.1,0.1,CH₃O⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3OK,Potassium methoxide,Potassium methanolate,alkali; alcohol,O 1s,531.4,0.1,CH₃O⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3CH2OK,Potassium ethoxide,Potassium ethanolate,alkali; alcohol,K 2p3/2,292.7,0.1,K⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3CH2OK,Potassium ethoxide,Potassium ethanolate,alkali; alcohol,C 1s,285.0,0.1,CH₃,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3CH2OK,Potassium ethoxide,Potassium ethanolate,alkali; alcohol,C 1s,286.1,0.1,CO⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3CH2OK,Potassium ethoxide,Potassium ethanolate,alkali; alcohol,O 1s,531.3,0.1,CO⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3CH2COOK,Potassium propionate,Potassium propanoate,alkali; carboxylic acid,K 2p3/2,292.5,0.1,K⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3CH2COOK,Potassium propionate,Potassium propanoate,alkali; carboxylic acid,C 1s,285.0,0.1,"CC, CH",1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3CH2COOK,Potassium propionate,Potassium propanoate,alkali; carboxylic acid,C 1s,288.1,0.1,CO₂⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3CH2COOK,Potassium propionate,Potassium propanoate,alkali; carboxylic acid,O 1s,531.0,0.1,CO₂⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
K2C2O4,Potassium oxalate,Dipotassium oxalate,alkali; oxalate,K 2p3/2,292.6,0.2,K⁺,1; 23,10.1021/acsaem.1c02400; 10.1021/acsami.4c17461,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
K2C2O4,Potassium oxalate,Dipotassium oxalate,alkali; oxalate,C 1s,288.1,0.1,CO₂⁻,1; 23,10.1021/acsaem.1c02400; 10.1021/acsami.4c17461,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
K2C2O4,Potassium oxalate,Dipotassium oxalate,alkali; oxalate,O 1s,531.2,0.2,CO₂⁻,1; 23,10.1021/acsaem.1c02400; 10.1021/acsami.4c17461,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
CH3OCOOK,Potassium methyl carbonate,,alkali; carbonate,K 2p3/2,292.1,0.1,K⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3OCOOK,Potassium methyl carbonate,,alkali; carbonate,C 1s,286.3,0.1,CO,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3OCOOK,Potassium methyl carbonate,,alkali; carbonate,C 1s,289.4,0.1,CO₃⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3OCOOK,Potassium methyl carbonate,,alkali; carbonate,O 1s,531.1,0.1,CO₃⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CH3OCOOK,Potassium methyl carbonate,,alkali; carbonate,O 1s,532.9,0.1,CO,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CMC,Sodium carboxymethyl cellulose,NaCMC; Sodium CMC; Carboxymethylcellulose sodium,cellulose; polymer,C 1s,286.5,0.1,CO,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CMC,Sodium carboxymethyl cellulose,NaCMC; Sodium CMC; Carboxymethylcellulose sodium,cellulose; polymer,C 1s,288.2,0.1,CO₂,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CMC,Sodium carboxymethyl cellulose,NaCMC; Sodium CMC; Carboxymethylcellulose sodium,cellulose; polymer,O 1s,531.5,0.1,CO₂,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
CMC,Sodium carboxymethyl cellulose,NaCMC; Sodium CMC; Carboxymethylcellulose sodium,cellulose; polymer,O 1s,533.2,0.1,CO,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
PEO,Poly(ethylene oxide),PEO; Polyethylene oxide,ether; polymer,C 1s,286.4,0.1,CO,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
PEO,Poly(ethylene oxide),PEO; Polyethylene oxide,ether; polymer,O 1s,532.6,0.1,CO,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
