Compound,Compound name,Compound aliases,Chemical class,Core level,Binding energy (eV),Uncertainty (eV),Peak assignment,Reference,DOI,Calibration
SiOxFy,Silicon oxyfluoride,,fluoride; oxide,Si 2p3/2,106.0,0.2,SiOₓFᵧ,8,10.1021/ja403082s,C 1s (C-C/C-H) = 285.0 eV
LixSi,Lithiated silicon,,alloy; intermetallic; silicide,Si 2p3/2,96.8,0.6,LiₓSi,8,10.1021/ja403082s,C 1s (C-C/C-H) = 285.0 eV
Li2SiO3,Lithium metasilicate,,alkali; silicate,Si 2p3/2,102.3,0.1,Li₂SiO₃,9,10.1021/cm2034195,C 1s (C-C/C-H) = 285.0 eV
Li4SiO4,Lithium orthosilicate,,alkali; silicate,Si 2p3/2,100.9,0.1,Li₄SiO₄,9,10.1021/cm2034195,C 1s (C-C/C-H) = 285.0 eV
Ni,nickel,nickel metal; metallic nickel; nickel particles,element,Ni 2p3/2,852.6,0.2,Ni⁰ (peak 1),11; 13; 14,10.1002/sia.3026; 10.1039/c2cp22419d; 10.1016/j.apsusc.2010.10.051,Au 4f7/2 = 83.95 eV; Au 4f7/2 = 83.95 eV; Au 4f7/2 = 83.95 eV
NiO,nickel(II) oxide,nickel monoxide; nickel oxide; nickelous oxide; oxonickel,oxide,Ni 2p3/2,853.7,0.2,Ni²⁺ (peak 1),11; 13; 14,10.1002/sia.3026; 10.1039/c2cp22419d; 10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV; C 1s (C-C/C-H) = 284.8 eV; C 1s (C-C/C-H) = 284.8 eV
NiO,nickel(II) oxide,nickel monoxide; nickel oxide; nickelous oxide; oxonickel,oxide,O 1s,529.3,0.05,O²⁻,11; 14,10.1002/sia.3026; 10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV; C 1s (C-C/C-H) = 284.8 eV
Ni(OH)2,nickel(II) hydroxide,nickel hydroxide; nickel dihydroxide; nickelous hydroxide,hydroxide,Ni 2p3/2,854.9,0.15,Ni²⁺ (peak 1),11; 14,10.1002/sia.3026; 10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV; C 1s (C-C/C-H) = 284.8 eV
Ni(OH)2,nickel(II) hydroxide,nickel hydroxide; nickel dihydroxide; nickelous hydroxide,hydroxide,O 1s,530.9,0.1,OH⁻,11; 14,10.1002/sia.3026; 10.1016/j.apsusc.2010.10.051,C 1s (C-C/C-H) = 284.8 eV; C 1s (C-C/C-H) = 284.8 eV
γ-NiOOH,gamma nickel oxyhydroxide,gamma-NiOOH; γ-nickel oxyhydroxide; nickel oxyhydroxide; nickel(III) oxide hydroxide,oxide; hydroxide,Ni 2p3/2,854.6,0.1,Ni³⁺ (peak 1),12; 14,10.1016/j.susc.2006.01.041; 10.1016/j.apsusc.2010.10.051,C 1s = 284.8 eV; C 1s (C-C/C-H) = 284.8 eV
